"SubID","Block","Trial","Condition","TestDuration","Long","Exp"
"1",1,55,"Fix-nonGap",125,0,"Exp1"
"1",1,56,"Fix-nonGap",625,1,"Exp1"
"1",1,57,"Fix-nonGap",125,0,"Exp1"
"1",1,58,"Fix-nonGap",250,0,"Exp1"
"1",1,59,"Fix-nonGap",250,0,"Exp1"
"1",1,60,"Fix-nonGap",500,1,"Exp1"
"1",1,62,"Fix-nonGap",750,1,"Exp1"
"1",1,63,"Fix-nonGap",750,1,"Exp1"
"1",1,64,"Fix-nonGap",250,0,"Exp1"
"1",1,65,"Fix-nonGap",375,0,"Exp1"
"1",1,67,"Fix-nonGap",500,0,"Exp1"
"1",1,68,"Fix-nonGap",875,0,"Exp1"
"1",1,69,"Fix-nonGap",750,1,"Exp1"
"1",1,71,"Fix-nonGap",625,1,"Exp1"
"1",1,72,"Fix-nonGap",125,0,"Exp1"
"1",1,73,"Fix-nonGap",750,1,"Exp1"
"1",1,74,"Fix-nonGap",875,1,"Exp1"
"1",1,75,"Fix-nonGap",250,0,"Exp1"
"1",1,76,"Fix-nonGap",500,1,"Exp1"
"1",1,77,"Fix-nonGap",375,0,"Exp1"
"1",1,78,"Fix-nonGap",500,1,"Exp1"
"1",1,79,"Fix-nonGap",125,0,"Exp1"
"1",1,80,"Fix-nonGap",375,1,"Exp1"
"1",1,82,"Fix-nonGap",875,1,"Exp1"
"1",1,83,"Fix-nonGap",500,1,"Exp1"
"1",1,84,"Fix-nonGap",375,0,"Exp1"
"1",1,85,"Fix-nonGap",500,0,"Exp1"
"1",1,86,"Fix-nonGap",625,0,"Exp1"
"1",1,88,"Fix-nonGap",375,0,"Exp1"
"1",1,89,"Fix-nonGap",375,1,"Exp1"
"1",1,90,"Fix-nonGap",125,0,"Exp1"
"1",1,91,"Fix-nonGap",250,0,"Exp1"
"1",1,92,"Fix-nonGap",125,0,"Exp1"
"1",1,94,"Fix-nonGap",750,1,"Exp1"
"1",1,95,"Fix-nonGap",500,1,"Exp1"
"1",1,96,"Fix-nonGap",625,1,"Exp1"
"1",1,97,"Fix-nonGap",625,1,"Exp1"
"1",1,98,"Fix-nonGap",500,1,"Exp1"
"1",1,100,"Fix-nonGap",625,1,"Exp1"
"1",1,101,"Fix-nonGap",375,0,"Exp1"
"1",1,102,"Fix-nonGap",500,1,"Exp1"
"1",1,104,"Fix-nonGap",625,1,"Exp1"
"1",1,105,"Fix-nonGap",625,1,"Exp1"
"1",1,106,"Fix-nonGap",625,1,"Exp1"
"1",1,107,"Fix-nonGap",750,1,"Exp1"
"1",1,108,"Fix-nonGap",875,1,"Exp1"
"1",1,110,"Fix-nonGap",625,1,"Exp1"
"1",1,112,"Fix-nonGap",125,0,"Exp1"
"1",1,113,"Fix-nonGap",875,1,"Exp1"
"1",1,114,"Fix-nonGap",625,1,"Exp1"
"1",1,115,"Fix-nonGap",875,1,"Exp1"
"1",1,116,"Fix-nonGap",125,0,"Exp1"
"1",1,118,"Fix-nonGap",250,0,"Exp1"
"1",1,120,"Fix-nonGap",500,1,"Exp1"
"1",1,121,"Fix-nonGap",375,0,"Exp1"
"1",1,122,"Fix-nonGap",750,1,"Exp1"
"1",1,123,"Fix-nonGap",375,0,"Exp1"
"1",1,124,"Fix-nonGap",250,0,"Exp1"
"1",1,125,"Fix-nonGap",875,1,"Exp1"
"1",1,126,"Fix-nonGap",250,0,"Exp1"
"1",1,127,"Fix-nonGap",875,1,"Exp1"
"1",1,128,"Fix-nonGap",875,1,"Exp1"
"1",1,129,"Fix-nonGap",500,1,"Exp1"
